T0: [-0.050000, 0.050000] [0.340000, 0.440000] [0.610000, 0.710000] [0.760000, 0.860000] [0.790000, 0.890000] [0.700000, 0.800000] [0.490000, 0.590000] [0.160000, 0.260000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] 
T12: [0.208134, 0.308133] [0.296515, 0.396515] [0.326566, 0.426566] [0.378532, 0.478532] [0.371523, 0.471524] [0.363548, 0.463548] [0.314000, 0.414000] [0.261229, 0.361230] [0.191378, 0.291378] [0.131129, 0.231129] [0.071172, 0.171173] [0.031197, 0.131197] [-0.003389, 0.096612] [-0.015327, 0.084673] [-0.025449, 0.074551] [-0.007974, 0.092026] [0.002353, 0.102353] [0.054135, 0.154135] [0.083710, 0.183710] [0.167016, 0.267015] 
T13: [0.231765, 0.331765] [0.267350, 0.367350] [0.337524, 0.437523] [0.349045, 0.449045] [0.371040, 0.471040] [0.342762, 0.442762] [0.312389, 0.412389] [0.252689, 0.352689] [0.196179, 0.296179] [0.131275, 0.231276] [0.081163, 0.181163] [0.033892, 0.133892] [0.007935, 0.107935] [-0.014419, 0.085581] [-0.011650, 0.088350] [-0.011548, 0.088452] [0.023081, 0.123081] [0.043032, 0.143032] [0.110575, 0.210575] [0.145922, 0.245922] 
T14: [0.206636, 0.306636] [0.284644, 0.384644] [0.308197, 0.408197] [0.354282, 0.454282] [0.345903, 0.445903] [0.341714, 0.441715] [0.297725, 0.397726] [0.254284, 0.354284] [0.191982, 0.291983] [0.138671, 0.238671] [0.082583, 0.182584] [0.044549, 0.144549] [0.009736, 0.109737] [-0.001858, 0.098142] [-0.012983, 0.087017] [0.005715, 0.105715] [0.015742, 0.115742] [0.066828, 0.166828] [0.094477, 0.194477] [0.171170, 0.271170] 
T15: [0.227907, 0.327907] [0.257417, 0.357416] [0.319463, 0.419463] [0.327050, 0.427050] [0.347998, 0.447998] [0.321814, 0.421815] [0.297999, 0.398000] [0.244854, 0.344854] [0.196477, 0.296478] [0.137283, 0.237283] [0.091610, 0.191610] [0.046160, 0.146160] [0.021345, 0.121346] [-0.001624, 0.098377] [0.001929, 0.101929] [0.001379, 0.101379] [0.036272, 0.136272] [0.055109, 0.155109] [0.118999, 0.218999] [0.150556, 0.250556] 
T16: [0.203986, 0.303986] [0.273685, 0.373685] [0.292233, 0.392233] [0.333731, 0.433731] [0.324432, 0.424433] [0.322999, 0.422999] [0.283334, 0.383335] [0.247238, 0.347239] [0.191068, 0.291069] [0.144044, 0.244044] [0.091721, 0.191722] [0.056478, 0.156478] [0.022268, 0.122269] [0.011637, 0.111637] [-0.000122, 0.099878] [0.019100, 0.119100] [0.028244, 0.128244] [0.077635, 0.177635] [0.102833, 0.202833] [0.173453, 0.273453] 
T17: [0.223569, 0.323569] [0.248110, 0.348110] [0.303708, 0.403708] [0.308333, 0.408333] [0.328365, 0.428365] [0.303883, 0.403884] [0.285118, 0.385119] [0.237201, 0.337202] [0.195641, 0.295642] [0.141395, 0.241396] [0.100261, 0.200261] [0.056995, 0.156995] [0.034057, 0.134058] [0.011073, 0.111073] [0.015369, 0.115369] [0.014061, 0.114061] [0.048368, 0.148368] [0.065539, 0.165538] [0.125544, 0.225544] [0.153410, 0.253409] 
T18: [0.200760, 0.300759] [0.263638, 0.363638] [0.278221, 0.378221] [0.316036, 0.416036] [0.306108, 0.406108] [0.306741, 0.406742] [0.270542, 0.370543] [0.240380, 0.340380] [0.189298, 0.289299] [0.147951, 0.247951] [0.099195, 0.199195] [0.067159, 0.167159] [0.034034, 0.134034] [0.024713, 0.124713] [0.012567, 0.112567] [0.031868, 0.131868] [0.039800, 0.139800] [0.086956, 0.186956] [0.109474, 0.209474] [0.174556, 0.274556] 
T19: [0.219097, 0.319097] [0.239490, 0.339490] [0.289837, 0.389837] [0.292165, 0.392165] [0.311389, 0.411389] [0.288325, 0.388326] [0.273561, 0.373561] [0.229920, 0.329921] [0.194165, 0.294166] [0.144246, 0.244247] [0.107555, 0.207556] [0.066614, 0.166615] [0.045936, 0.145936] [0.023300, 0.123301] [0.028290, 0.128291] [0.026183, 0.126183] [0.059412, 0.159412] [0.074637, 0.174637] [0.130756, 0.230756] [0.155117, 0.255117] 
T20: [0.197303, 0.297304] [0.254467, 0.354467] [0.265827, 0.365828] [0.300613, 0.400613] [0.290245, 0.390245] [0.292475, 0.392475] [0.259123, 0.359123] [0.233863, 0.333864] [0.187083, 0.287084] [0.150860, 0.250861] [0.105430, 0.205431] [0.076745, 0.176746] [0.044957, 0.144958] [0.037113, 0.137114] [0.024742, 0.124742] [0.043851, 0.143851] [0.050410, 0.150410] [0.095084, 0.195084] [0.114877, 0.214877] [0.174927, 0.274927] 
T21: [0.214697, 0.314697] [0.231565, 0.331566] [0.277540, 0.377540] [0.278036, 0.378037] [0.296544, 0.396545] [0.274684, 0.374684] [0.263169, 0.363170] [0.223103, 0.323104] [0.192361, 0.292362] [0.146257, 0.246258] [0.113803, 0.213804] [0.075194, 0.175195] [0.056929, 0.156930] [0.034850, 0.134850] [0.040482, 0.140482] [0.037576, 0.137576] [0.069468, 0.169468] [0.082643, 0.182643] [0.135005, 0.235005] [0.156090, 0.256090] 
