T12: [-0.050002, 0.049998] [0.339995, 0.439996] [0.609993, 0.709994] [0.759995, 0.859997] [0.790000, 0.890002] [0.700004, 0.800007] [0.490005, 0.590007] [0.160002, 0.260004] [-0.049999, 0.050002] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050001, 0.050000] 
T13: [0.144998, 0.244997] [0.279994, 0.379992] [0.549992, 0.649991] [0.699996, 0.799995] [0.730001, 0.830002] [0.640006, 0.740007] [0.430007, 0.530009] [0.220004, 0.320006] [0.055000, 0.155001] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] 
T14: [-0.050002, 0.049998] [0.339994, 0.439995] [0.609991, 0.709993] [0.759995, 0.859997] [0.790000, 0.890003] [0.700005, 0.800008] [0.490006, 0.590008] [0.160003, 0.260005] [-0.049999, 0.050002] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050001, 0.049999] 
T15: [0.144998, 0.244997] [0.279993, 0.379991] [0.549991, 0.649990] [0.699995, 0.799995] [0.730002, 0.830002] [0.640007, 0.740008] [0.430009, 0.530011] [0.220004, 0.320007] [0.055000, 0.155001] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] 
T16: [-0.050002, 0.049998] [0.339993, 0.439994] [0.609990, 0.709992] [0.759994, 0.859996] [0.790000, 0.890003] [0.700006, 0.800009] [0.490007, 0.590010] [0.160003, 0.260005] [-0.049999, 0.050002] [-0.050000, 0.050001] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050001, 0.049999] 
T17: [0.144997, 0.244996] [0.279992, 0.379989] [0.549990, 0.649989] [0.699995, 0.799994] [0.730002, 0.830002] [0.640008, 0.740010] [0.430010, 0.530012] [0.220005, 0.320007] [0.055000, 0.155001] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] 
T18: [-0.050003, 0.049998] [0.339992, 0.439993] [0.609989, 0.709991] [0.759993, 0.859996] [0.790000, 0.890004] [0.700007, 0.800010] [0.490007, 0.590011] [0.160004, 0.260006] [-0.049999, 0.050002] [-0.050000, 0.050001] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050001, 0.049999] 
T19: [0.144997, 0.244996] [0.279991, 0.379989] [0.549989, 0.649988] [0.699993, 0.799994] [0.730002, 0.830003] [0.640009, 0.740011] [0.430011, 0.530014] [0.220006, 0.320008] [0.055001, 0.155002] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] 
T20: [-0.050003, 0.049998] [0.339991, 0.439993] [0.609987, 0.709990] [0.759992, 0.859996] [0.790000, 0.890004] [0.700007, 0.800012] [0.490008, 0.590012] [0.160004, 0.260007] [-0.049999, 0.050003] [-0.050000, 0.050001] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050001, 0.049999] 
T21: [0.144997, 0.244995] [0.279990, 0.379988] [0.549987, 0.649987] [0.699992, 0.799993] [0.730001, 0.830003] [0.640009, 0.740012] [0.430012, 0.530015] [0.220006, 0.320009] [0.055001, 0.155002] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] 
T22: [-0.050003, 0.049997] [0.339990, 0.439992] [0.609986, 0.709989] [0.759991, 0.859995] [0.790000, 0.890005] [0.700008, 0.800013] [0.490009, 0.590013] [0.160005, 0.260008] [-0.049999, 0.050003] [-0.050000, 0.050001] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050001, 0.049999] 
T23: [0.144996, 0.244995] [0.279988, 0.379987] [0.549985, 0.649986] [0.699991, 0.799993] [0.730001, 0.830004] [0.640010, 0.740014] [0.430013, 0.530017] [0.220007, 0.320010] [0.055001, 0.155002] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] 
T24: [-0.050004, 0.049997] [0.339989, 0.439992] [0.609985, 0.709988] [0.759990, 0.859995] [0.790000, 0.890005] [0.700009, 0.800014] [0.490010, 0.590014] [0.160005, 0.260008] [-0.049999, 0.050003] [-0.050000, 0.050001] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050002, 0.049999] 
T25: [0.144996, 0.244995] [0.279987, 0.379986] [0.549984, 0.649985] [0.699990, 0.799993] [0.730001, 0.830005] [0.640011, 0.740015] [0.430014, 0.530018] [0.220007, 0.320011] [0.055001, 0.155002] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] 
T26: [-0.050004, 0.049997] [0.339988, 0.439991] [0.609983, 0.709987] [0.759989, 0.859995] [0.790000, 0.890006] [0.700009, 0.800015] [0.490010, 0.590016] [0.160005, 0.260009] [-0.049999, 0.050003] [-0.050000, 0.050001] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050002, 0.049999] 
T27: [0.144995, 0.244995] [0.279986, 0.379985] [0.549982, 0.649984] [0.699989, 0.799992] [0.730001, 0.830005] [0.640012, 0.740016] [0.430015, 0.530020] [0.220008, 0.320012] [0.055001, 0.155002] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] 
T28: [-0.050004, 0.049997] [0.339987, 0.439990] [0.609982, 0.709986] [0.759988, 0.859995] [0.789999, 0.890007] [0.700010, 0.800017] [0.490011, 0.590017] [0.160006, 0.260010] [-0.049998, 0.050004] [-0.050000, 0.050001] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050002, 0.049999] 
T29: [0.144995, 0.244994] [0.279984, 0.379984] [0.549981, 0.649983] [0.699988, 0.799992] [0.730001, 0.830006] [0.640012, 0.740018] [0.430016, 0.530021] [0.220009, 0.320013] [0.055001, 0.155003] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] 
T30: [-0.050005, 0.049997] [0.339986, 0.439990] [0.609980, 0.709986] [0.759987, 0.859994] [0.789999, 0.890007] [0.700010, 0.800018] [0.490012, 0.590018] [0.160006, 0.260010] [-0.049998, 0.050004] [-0.050000, 0.050001] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050002, 0.049999] 
T31: [0.144994, 0.244994] [0.279983, 0.379983] [0.549979, 0.649982] [0.699987, 0.799992] [0.730001, 0.830007] [0.640013, 0.740019] [0.430017, 0.530023] [0.220009, 0.320014] [0.055001, 0.155003] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] 
T32: [-0.050005, 0.049996] [0.339985, 0.439989] [0.609979, 0.709985] [0.759986, 0.859994] [0.789999, 0.890008] [0.700011, 0.800019] [0.490013, 0.590019] [0.160007, 0.260011] [-0.049998, 0.050004] [-0.050000, 0.050001] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050002, 0.049999] 
T33: [0.144994, 0.244994] [0.279982, 0.379982] [0.549978, 0.649981] [0.699986, 0.799992] [0.730001, 0.830007] [0.640014, 0.740021] [0.430018, 0.530025] [0.220010, 0.320014] [0.055001, 0.155003] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] 
T34: [-0.050006, 0.049996] [0.339984, 0.439989] [0.609978, 0.709984] [0.759985, 0.859994] [0.789999, 0.890008] [0.700012, 0.800020] [0.490014, 0.590021] [0.160007, 0.260012] [-0.049998, 0.050004] [-0.050000, 0.050001] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050002, 0.049999] 
T35: [0.144993, 0.244994] [0.279981, 0.379981] [0.549976, 0.649980] [0.699985, 0.799991] [0.730000, 0.830008] [0.640014, 0.740022] [0.430019, 0.530026] [0.220010, 0.320015] [0.055001, 0.155003] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] 
